MLSAreaMajor,Stories,ViewYN,NewConstructionYN,Levels,PoolPrivateYN,BuyerOfficeAOR,GarageSpaces,LotSizeAcres,LotSizeSquareFeet,LotSizeArea,BuyerOfficeName,BuyerAgentFirstName,BuyerAgentMlsId,StreetNumberNumeric,UnparsedAddress,City,YearBuilt,FireplaceYN,BuyerAgentLastName,LivingArea,Latitude,Longitude,BuyerAgentAOR,BathroomsTotalInteger,ClosePrice,CloseDate,PropertyType,MlsStatus,ParkingTotal,PropertySubType,CountyOrParish,BedroomsTotal,StateOrProvince,PurchaseContractDate,ContractStatusChangeDate,PostalCode
287A - Arrowhead Woods,2.0,False,False,Two,False,Mrmls,2.0,0.2204,9600.0,9600.0,NONMEMBER MRML,General,nonmember,810.0,810 Marin Lane,Lake Arrowhead,2021.0,False,NONMEMBER,3000.0,34.264692,-117.22104,TheInlandGateway,3.0,890000.0,2025-06-13,Residential,Closed,2.0,SingleFamilyResidence,San Bernardino,3.0,CA,2021-12-19,2025-06-13,92352
C03 - Sunset Strip - Hollywood Hills West,2.0,False,False,Two,False,OutOfAreaBoard,2.0,0.2388,10400.0,10400.0,Compass,Nicholas,CLW-C141531,9016.0,9016 Wonderland Avenue,Los Angeles,1963.0,False,Borchenko,1800.0,34.107983000000004,-118.39032,BeverlyHillsGreaterLa,3.0,1876384.0,2025-06-30,Residential,Closed,1.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-06-30,2025-06-30,90046
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,3.0,0.5166,22505.0,22505.0,Green Banker Realty,Stanley,ML157878,2905.0,2905 Privet Drive,Hillsborough,1980.0,False,Lo,4270.0,37.56743409,-122.38822609,Mlslistings,6.0,4820000.0,2025-06-30,Residential,Closed,3.0,SingleFamilyResidence,San Mateo,6.0,CA,2025-06-30,2025-06-30,94010
85 - Yorba Linda,1.0,False,False,One,False,PacificWest,2.0,0.1102,4800.0,4800.0,Major League Properties,Connor,PWCONSEA,3620.0,3620 Vista Glen Circle,Yorba Linda,1985.0,False,Seaman,1442.0,33.906058,-117.777782,PacificWest,2.0,865000.0,2025-06-30,Residential,Closed,2.0,SingleFamilyResidence,Orange,3.0,CA,2025-06-30,2025-06-30,92886
Unknown,1.0,False,False,One,False,Mlslistings,4.0,0.1263,5500.0,5500.0,MLSListing,Brian,CCBE-MLL479273,19036.0,19036 Clemans Dr,Castro Valley,1953.0,False,Rowland,1086.0,37.70591875,-122.05942125,BayEast,1.0,875000.0,2025-06-30,Residential,Closed,4.0,SingleFamilyResidence,Alameda,3.0,CA,2025-06-30,2025-06-30,94546
Unknown,1.0,False,False,One,False,ContraCosta,0.0,0.1848,8050.0,8050.0,Compass,Ashley,CCBE-159523074,3848.0,3848 Village Rd,Concord,1953.0,False,O'Malley,1608.0,37.98631929,-122.00154916,ContraCosta,2.0,769645.0,2025-06-30,Residential,Closed,0.0,SingleFamilyResidence,Contra Costa,3.0,CA,2025-06-30,2025-06-30,94519
699 - Not Defined,1.0,False,False,Unknown,False,Unknown,2.0,4.52,196891.0,196891.0,Unknown,Sarah,ML1410751,17141.0,17141 Arnold Drive,Sonoma,1976.0,False,L. Carlson,2638.0,38.319469700000006,-122.49915892,Mlslistings,2.0,2387500.0,2025-06-30,Residential,Closed,2.0,SingleFamilyResidence,Sonoma,2.0,CA,2025-06-30,2025-06-30,95476
686 - Ontario,2.0,False,False,Two,False,CitrusValley,2.0,0.151,6576.0,6576.0,OMEGA REAL ESTATE,Megann,CV35698,646.0,646 E Princeton Street,Ontario,1900.0,False,Centeno,1102.0,34.079509,-117.642104,CitrusValley,1.0,720000.0,2025-06-27,Residential,Closed,2.0,SingleFamilyResidence,San Bernardino,2.0,CA,2025-06-02,2025-06-27,91764
252 - Riverside,1.0,False,False,One,False,CitrusValley,2.0,0.17,7405.0,7405.0,OMEGA REAL ESTATE,Rossmery,CV45298,4555.0,4555 Jones Avenue,Riverside,1955.0,False,Rodriguez,1058.0,33.918994,-117.477643,CitrusValley,1.0,585000.0,2025-06-30,Residential,Closed,6.0,SingleFamilyResidence,Riverside,3.0,CA,2025-06-30,2025-06-30,92505
632 - Highland Park,1.0,False,False,One,False,PasadenaFoothills,0.0,0.1098,4781.0,4781.0,The Agency,Justin,pf23976m,5209.0,5209 Baltimore Street,Los Angeles,1924.0,False,Bono,1643.0,34.118251,-118.202861,PacificWest,3.0,1775000.0,2025-06-25,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,3.0,CA,2025-05-21,2025-06-25,90042
